dataset,temperature_mode,eval_horizon,mse_mean,mse_std,mae_mean,mae_std,tau_mean,relative_improvement_pct,H_norm_mean,N_eff_mean
ETTm1,query_conditioned,48,0.7218833333333333,0.015634526962250324,0.57095,0.00551521531764629,0.1788,-0.78,0.9000666666666666,66.9572
ETTm1,query_conditioned,96,0.9092266666666666,0.039170652704969465,0.63289,0.01515588004703124,0.18159999999999998,-3.14,0.90223,67.3166
ETTm1,query_conditioned,192,0.9621766666666667,0.04905954477299333,0.65544,0.018119878586789692,0.18123333333333336,-3.63,0.9030633333333333,67.49586666666666
ETTm1,query_conditioned,336,1.0057099999999999,0.06072593432792938,0.6754666666666665,0.020558439467365533,0.18033333333333335,-4.47,0.90292,67.4349
ETTm1,query_conditioned,720,1.0741133333333333,0.06123137294992937,0.7120633333333334,0.021439716260560265,0.18000000000000002,-4.28,0.90402,67.61573333333334
ETTm1,temporal_context,24,0.6634099999999999,0.007417304092458428,0.5425866666666667,0.004048015974935534,0.17379999999999998,1.22,0.90097,67.44656666666667
ETTm1,temporal_context,48,0.7196266666666666,0.016066332292509505,0.5679933333333334,0.0056262450473946865,0.1738333333333333,-0.47,0.9014366666666667,67.39496666666666
ETTm1,temporal_context,96,0.8941733333333334,0.018501376525365175,0.6276066666666668,0.006783379197224181,0.17386666666666664,-1.43,0.9029400000000001,67.54923333333333
ETTm1,temporal_context,192,0.9422233333333333,0.025131196416671726,0.64894,0.008670386381240444,0.17396666666666669,-1.48,0.9038066666666666,67.73049999999999
ETTm1,temporal_context,336,0.9781533333333333,0.03512467129146316,0.6673366666666666,0.010656154716094024,0.17426666666666668,-1.61,0.9041033333333334,67.75446666666666
ETTm1,temporal_context,720,1.0421099999999999,0.03276560849427328,0.7027933333333333,0.010849190445988756,0.17516666666666666,-1.17,0.90607,68.15173333333333
exchange,fixed,24,0.10281,0.003033858928823158,0.23601666666666668,0.003215467824956938,1.0,0.0,0.9655666666666667,85.51703333333334
exchange,fixed,48,0.12738000000000002,0.0030736948449707957,0.2634433333333333,0.0029891860653584916,1.0,0.0,0.9657966666666667,85.55723333333333
exchange,fixed,96,0.17881666666666665,0.003420589617790105,0.31228666666666666,0.0028758708825907388,1.0,0.0,0.9670566666666667,85.82486666666667
exchange,fixed,192,0.29334,0.003397307757622212,0.40429000000000004,0.0023044305153334882,1.0,0.0,0.9671366666666668,85.74239999999999
exchange,fixed,336,0.4868166666666667,0.004299678282538527,0.5231066666666667,0.0022404091888165397,1.0,0.0,0.9697100000000001,86.4209
exchange,fixed,720,1.2320266666666668,0.008379793155760693,0.8594133333333334,0.003116188911688984,1.0,0.0,0.9695900000000001,86.40396666666668
exchange,learned_global,24,0.10282000000000001,0.003048622639816208,0.23601666666666668,0.0032418256173541156,0.9731333333333333,-0.01,0.9642966666666667,85.17923333333333
exchange,learned_global,48,0.12739999999999999,0.003075369896451491,0.2634533333333333,0.0030014218852626156,0.9731333333333333,-0.02,0.9645333333333334,85.21876666666667
exchange,learned_global,96,0.17884,0.0034183036728763715,0.3122933333333333,0.0028832157972190214,0.9731333333333333,-0.01,0.9658199999999999,85.4892
exchange,learned_global,192,0.29335333333333335,0.003395030682237398,0.40428333333333333,0.0023163836757612664,0.9731333333333333,-0.0,0.9659,85.40393333333334
exchange,learned_global,336,0.4868333333333334,0.004290038849862934,0.5231133333333333,0.002242773580487612,0.9731333333333333,-0.0,0.9685633333333333,86.0997
exchange,learned_global,720,1.2320833333333334,0.00835246869693829,0.8594233333333333,0.0031146481877306433,0.9731333333333333,-0.0,0.9684366666666667,86.08303333333333
