dataset,seed,model_name,temperature_mode,eval_horizon,H_norm,N_eff,max_attention,mean_tau,std_tau,min_tau,max_tau
ETTh2,44,TCD2Vformer_fixed,fixed,192,0.97697,88.3883,0.02233,1.0,0.0,1.0,1.0
ETTh2,44,TCD2Vformer_fixed,fixed,336,0.97743,88.488,0.02209,1.0,0.0,1.0,1.0
ETTh2,44,TCD2Vformer_fixed,fixed,720,0.97763,88.5185,0.02199,1.0,0.0,1.0,1.0
ETTh2,42,TCD2Vformer_learned_global,learned_global,24,0.98213,89.8473,0.02021,0.9569,0.0,0.9569,0.9569
ETTh2,42,TCD2Vformer_learned_global,learned_global,48,0.98278,90.0392,0.02005,0.9569,0.0,0.9569,0.9569
ETTh2,42,TCD2Vformer_learned_global,learned_global,96,0.98336,90.1916,0.01986,0.9569,0.0,0.9569,0.9569
ETTh2,42,TCD2Vformer_learned_global,learned_global,192,0.98323,90.1349,0.01964,0.9569,0.0,0.9569,0.9569
ETTh2,42,TCD2Vformer_learned_global,learned_global,336,0.98345,90.1864,0.01954,0.9569,0.0,0.9569,0.9569
ETTh2,42,TCD2Vformer_learned_global,learned_global,720,0.98365,90.2269,0.01945,0.9569,0.0,0.9569,0.9569
ETTh2,43,TCD2Vformer_learned_global,learned_global,24,0.98389,90.2664,0.01935,0.9546,0.0,0.9546,0.9546
ETTh2,43,TCD2Vformer_learned_global,learned_global,48,0.98469,90.4976,0.01911,0.9546,0.0,0.9546,0.9546
ETTh2,43,TCD2Vformer_learned_global,learned_global,96,0.98515,90.6208,0.01898,0.9546,0.0,0.9546,0.9546
ETTh2,43,TCD2Vformer_learned_global,learned_global,192,0.98499,90.5503,0.01877,0.9546,0.0,0.9546,0.9546
ETTh2,43,TCD2Vformer_learned_global,learned_global,336,0.98516,90.5923,0.01869,0.9546,0.0,0.9546,0.9546
ETTh2,43,TCD2Vformer_learned_global,learned_global,720,0.98498,90.5324,0.01879,0.9546,0.0,0.9546,0.9546
ETTh2,44,TCD2Vformer_learned_global,learned_global,24,0.97327,87.4943,0.02412,0.9572,0.0,0.9572,0.9572
ETTh2,44,TCD2Vformer_learned_global,learned_global,48,0.97438,87.7522,0.02376,0.9572,0.0,0.9572,0.9572
ETTh2,44,TCD2Vformer_learned_global,learned_global,96,0.97552,87.9928,0.02329,0.9572,0.0,0.9572,0.9572
ETTh2,44,TCD2Vformer_learned_global,learned_global,192,0.97545,87.9457,0.02296,0.9572,0.0,0.9572,0.9572
ETTh2,44,TCD2Vformer_learned_global,learned_global,336,0.97594,88.0484,0.02272,0.9572,0.0,0.9572,0.9572
ETTh2,44,TCD2Vformer_learned_global,learned_global,720,0.97615,88.0784,0.02262,0.9572,0.0,0.9572,0.9572
ETTh2,42,TCD2Vformer_temporal_context,temporal_context,24,0.98147,89.636,0.02048,0.9289,0.0011,0.9232,0.9351
ETTh2,42,TCD2Vformer_temporal_context,temporal_context,48,0.98214,89.8317,0.02031,0.9289,0.0011,0.9232,0.9351
ETTh2,42,TCD2Vformer_temporal_context,temporal_context,96,0.98275,89.9885,0.02012,0.9289,0.0011,0.9232,0.9351
ETTh2,42,TCD2Vformer_temporal_context,temporal_context,192,0.98262,89.9338,0.01989,0.9289,0.0012,0.9232,0.9351
ETTh2,42,TCD2Vformer_temporal_context,temporal_context,336,0.98285,89.9863,0.01978,0.9289,0.0012,0.9232,0.9351
ETTh2,42,TCD2Vformer_temporal_context,temporal_context,720,0.98304,90.023,0.0197,0.9289,0.0012,0.9232,0.9351
ETTh2,43,TCD2Vformer_temporal_context,temporal_context,24,0.981,89.3846,0.02056,0.8816,0.0025,0.8692,0.8935
ETTh2,43,TCD2Vformer_temporal_context,temporal_context,48,0.9819,89.6365,0.0203,0.8816,0.0025,0.8692,0.8935
ETTh2,43,TCD2Vformer_temporal_context,temporal_context,96,0.98242,89.7672,0.02016,0.8816,0.0026,0.8692,0.8935
ETTh2,43,TCD2Vformer_temporal_context,temporal_context,192,0.98229,89.7045,0.01991,0.8816,0.0026,0.8692,0.8935
ETTh2,43,TCD2Vformer_temporal_context,temporal_context,336,0.9825,89.7532,0.01981,0.8817,0.0026,0.8692,0.8935
ETTh2,43,TCD2Vformer_temporal_context,temporal_context,720,0.98229,89.6858,0.01992,0.8818,0.0026,0.8692,0.8935
ETTh2,44,TCD2Vformer_temporal_context,temporal_context,24,0.97017,86.6452,0.02545,0.8934,0.002,0.8801,0.9052
ETTh2,44,TCD2Vformer_temporal_context,temporal_context,48,0.97138,86.9165,0.02505,0.8934,0.002,0.8801,0.9052
ETTh2,44,TCD2Vformer_temporal_context,temporal_context,96,0.97259,87.1623,0.02456,0.8934,0.002,0.8801,0.9052
ETTh2,44,TCD2Vformer_temporal_context,temporal_context,192,0.97258,87.1271,0.02418,0.8934,0.0021,0.8801,0.9052
ETTh2,44,TCD2Vformer_temporal_context,temporal_context,336,0.97312,87.2371,0.0239,0.8934,0.0021,0.8801,0.9052
ETTh2,44,TCD2Vformer_temporal_context,temporal_context,720,0.97336,87.2703,0.02378,0.8934,0.0022,0.8801,0.9052
ETTh2,42,TCD2Vformer_query_conditioned,query_conditioned,24,0.98149,89.6432,0.02047,0.9299,0.0011,0.9234,0.937
ETTh2,42,TCD2Vformer_query_conditioned,query_conditioned,48,0.98216,89.839,0.0203,0.9299,0.0011,0.9234,0.9371
ETTh2,42,TCD2Vformer_query_conditioned,query_conditioned,96,0.98277,89.9963,0.02011,0.9299,0.0011,0.9229,0.9371
ETTh2,42,TCD2Vformer_query_conditioned,query_conditioned,192,0.98264,89.9416,0.01988,0.9299,0.0011,0.9229,0.9376
ETTh2,42,TCD2Vformer_query_conditioned,query_conditioned,336,0.98288,89.9938,0.01977,0.9299,0.0011,0.9229,0.9376
ETTh2,42,TCD2Vformer_query_conditioned,query_conditioned,720,0.98307,90.031,0.01969,0.9299,0.0011,0.9223,0.9376
ETTh2,43,TCD2Vformer_query_conditioned,query_conditioned,24,0.9811,89.4151,0.02052,0.8854,0.0026,0.8704,0.899
ETTh2,43,TCD2Vformer_query_conditioned,query_conditioned,48,0.98199,89.6669,0.02026,0.8854,0.0026,0.8696,0.899
ETTh2,43,TCD2Vformer_query_conditioned,query_conditioned,96,0.98251,89.7987,0.02011,0.8854,0.0026,0.8696,0.9003
ETTh2,43,TCD2Vformer_query_conditioned,query_conditioned,192,0.98238,89.7337,0.01987,0.8853,0.0026,0.8696,0.9003
ETTh2,43,TCD2Vformer_query_conditioned,query_conditioned,336,0.98258,89.7807,0.01977,0.8853,0.0026,0.8677,0.9003
ETTh2,43,TCD2Vformer_query_conditioned,query_conditioned,720,0.98237,89.7143,0.01988,0.8853,0.0026,0.8677,0.9013
ETTh2,44,TCD2Vformer_query_conditioned,query_conditioned,24,0.97032,86.6875,0.02538,0.8971,0.0024,0.882,0.9125
ETTh2,44,TCD2Vformer_query_conditioned,query_conditioned,48,0.97153,86.9592,0.02498,0.8971,0.0024,0.882,0.9125
ETTh2,44,TCD2Vformer_query_conditioned,query_conditioned,96,0.97274,87.2055,0.02449,0.8971,0.0024,0.8784,0.9166
ETTh2,44,TCD2Vformer_query_conditioned,query_conditioned,192,0.97273,87.1691,0.02412,0.8971,0.0024,0.8784,0.9166
ETTh2,44,TCD2Vformer_query_conditioned,query_conditioned,336,0.97326,87.2782,0.02384,0.8971,0.0024,0.8781,0.9166
ETTh2,44,TCD2Vformer_query_conditioned,query_conditioned,720,0.9735,87.3116,0.02372,0.8971,0.0024,0.8781,0.9166
ETTm1,42,TCD2Vformer_fixed,fixed,24,0.97227,87.4649,0.01949,1.0,0.0,1.0,1.0
ETTm1,42,TCD2Vformer_fixed,fixed,48,0.97253,87.4753,0.01936,1.0,0.0,1.0,1.0
ETTm1,42,TCD2Vformer_fixed,fixed,96,0.97304,87.5269,0.01908,1.0,0.0,1.0,1.0
