dataset,variant,temperature_mode,initial_tau,final_tau,seed,eval_horizon,mse,mae,H_norm,N_eff,N_eff_ratio,max_attention,checksum_verified
exchange,tau4.0,fixed,4.0,4.0,42,192,0.29655,0.40618,0.99321,93.5,0.974,0.01568,True
exchange,tau4.0,fixed,4.0,4.0,42,336,0.4918,0.52552,0.99382,93.71,0.9761,0.01535,True
exchange,tau4.0,fixed,4.0,4.0,42,720,1.24226,0.86288,0.99381,93.7,0.9761,0.0154,True
exchange,tau4.0,fixed,4.0,4.0,43,24,0.10306,0.23518,0.99408,93.88,0.9779,0.01519,True
exchange,tau4.0,fixed,4.0,4.0,43,48,0.1271,0.26221,0.99422,93.92,0.9783,0.01514,True
exchange,tau4.0,fixed,4.0,4.0,43,96,0.17831,0.3114,0.99453,94.01,0.9792,0.01496,True
exchange,tau4.0,fixed,4.0,4.0,43,192,0.2928,0.40425,0.99486,94.1,0.9802,0.01476,True
exchange,tau4.0,fixed,4.0,4.0,43,336,0.48615,0.52258,0.99524,94.22,0.9815,0.01454,True
exchange,tau4.0,fixed,4.0,4.0,43,720,1.2322,0.85944,0.99518,94.2,0.9813,0.01462,True
exchange,tau4.0,fixed,4.0,4.0,44,24,0.10026,0.23298,0.99344,93.58,0.9748,0.01558,True
exchange,tau4.0,fixed,4.0,4.0,44,48,0.12466,0.26045,0.99358,93.63,0.9753,0.01552,True
exchange,tau4.0,fixed,4.0,4.0,44,96,0.1757,0.30922,0.99363,93.63,0.9753,0.01552,True
exchange,tau4.0,fixed,4.0,4.0,44,192,0.29005,0.40151,0.99379,93.67,0.9757,0.01539,True
exchange,tau4.0,fixed,4.0,4.0,44,336,0.48298,0.52041,0.9945,93.91,0.9782,0.01505,True
exchange,tau4.0,fixed,4.0,4.0,44,720,1.22487,0.85592,0.99422,93.83,0.9774,0.01515,True
exchange,learnable,learnable,1.0,0.7065,42,24,0.11941,0.24612,0.67957,46.35,0.4829,0.24669,True
exchange,learnable,learnable,1.0,0.7065,42,48,0.14425,0.27338,0.67949,46.33,0.4826,0.24695,True
exchange,learnable,learnable,1.0,0.7065,42,96,0.19811,0.32344,0.67917,46.38,0.4832,0.24736,True
exchange,learnable,learnable,1.0,0.7065,42,192,0.30526,0.40759,0.67839,46.05,0.4797,0.24468,True
exchange,learnable,learnable,1.0,0.7065,42,336,0.48737,0.52181,0.6844,46.71,0.4865,0.24296,True
